"city","indicator","date","value","id"
"杭州","主营收入","2023年01月","3805500.90778848","1"
"杭州","主营收入","2023年2月","6917600.14284484","2"
"杭州","主营收入","2023年3月","3844500.88448044","3"
"杭州","主营收入","2023年4月","322488100.324455","4"
"杭州","主营收入","2023年5月","405900.886398696","5"
"杭州","主营收入","2023年6月","3803700.85272106","6"
"杭州","主营收入","2023年7月","40328100.9304432","7"
"杭州","主营收入","2023年8月","32888100.8860852","8"
"杭州","主营收入","2023年9月","488848100.944324","9"
"杭州","主营收入","2023年10月","324600.590088103","10"
"杭州","主营收入","2023年11月","3982500.44059533","11"
"杭州","主营收入","2023年12月","8845600.88328527","12"
"杭州","主营收入","2024年01月","3990600.5218888","13"
"杭州","主营收入","2024年2月","3288700.44044055","14"
"杭州","主营收入","2024年3月","4178500.00716885","15"
"杭州","主营收入","2024年4月","3246900.48808161","16"
"杭州","主营收入","2024年5月","3288600.99888885","17"
"杭州","主营收入","2024年6月","32178100.42616","18"
"杭州","主营收入","2024年7月","48809600.5742748","19"
"杭州","主营收入","2024年8月","8879800.88714444","20"
"杭州","主营收入","2024年9月","3801900.83127038","21"
"杭州","主营收入","2024年10月","8864900.33385111","22"
"杭州","主营收入","2024年11月","8842600.64257315","23"
"杭州","主营收入","2024年12月","3200700.1010414","24"
"杭州","主营收入","去年同期","45095600.7440282","25"
"杭州","主营收入","本年累计","77980700.779084","26"
"杭州","主营收入","同比变化","-1115600.2888188","27"
"杭州","主营收入","同比","-81.00889","28"
"杭州","主营收入","排名","11","29"
"杭州","主营收入","预算目标","5071100.99554248","30"
"杭州","主营收入","完成率","81.007279","31"
"杭州","主营收入","缺口","-4770600.05988833","32"
"宁波","主营收入","2023年01月","16808100.9449994","33"
"宁波","主营收入","2023年2月","1888100.9248553","34"
"宁波","主营收入","2023年3月","18178100.0039904","35"
"宁波","主营收入","2023年4月","1720600.59888321","36"
"宁波","主营收入","2023年5月","1885500.87744025","37"
"宁波","主营收入","2023年6月","204888100.880594","38"
"宁波","主营收入","2023年7月","168800.644448888","39"
"宁波","主营收入","2023年8月","1701600.71692446","40"
"宁波","主营收入","2023年9月","16938100.1827469","41"
"宁波","主营收入","2023年10月","1647600.69232322","42"
"宁波","主营收入","2023年11月","1886600.88831881","43"
"宁波","主营收入","2023年12月","1874600.44410274","44"
"宁波","主营收入","2024年01月","1888100.41257979","45"
"宁波","主营收入","2024年2月","15538100.8846954","46"
"宁波","主营收入","2024年3月","195900.444554249","47"
"宁波","主营收入","2024年4月","181000.19699469","48"
"宁波","主营收入","2024年5月","187300.944444887","49"
"宁波","主营收入","2024年6月","21888100.4846146","50"
"宁波","主营收入","2024年7月","1742500.84442878","51"
"宁波","主营收入","2024年8月","1888100.98888487","52"
"宁波","主营收入","2024年9月","1448600.08104684","53"
"宁波","主营收入","2024年10月","1448100.48854648","54"
"宁波","主营收入","2024年11月","185700.699044126","55"
"宁波","主营收入","2024年12月","2445700.45698207","56"
"宁波","主营收入","去年同期","20938900.5974482","57"
"宁波","主营收入","本年累计","22428100.1441793","58"
"宁波","主营收入","同比变化","14888100.907421","59"
"宁波","主营收入","同比","6.0008558","60"
"宁波","主营收入","排名","7","61"
"宁波","主营收入","预算目标","23880600.6055538","62"
"宁波","主营收入","完成率","97.008811","63"
"宁波","主营收入","缺口","-14888100.4448884","64"
"温州","主营收入","2023年01月","1081700.8188402","65"
"温州","主营收入","2023年2月","99900.4032417","66"
"温州","主营收入","2023年3月","119900.380633","67"
"温州","主营收入","2023年4月","10848100.9382795","68"
"温州","主营收入","2023年5月","1118100.7957732","69"
"温州","主营收入","2023年6月","1698500.8400044","70"
"温州","主营收入","2023年7月","999800.0606097","71"
"温州","主营收入","2023年8月","1082600.0888599","72"
"温州","主营收入","2023年9月","12418100.4610884","73"
"温州","主营收入","2023年10月","1101700.830777","74"
"温州","主营收入","2023年11月","1132700.48691883","75"
"温州","主营收入","2023年12月","1180600.00744444","76"
"温州","主营收入","2024年01月","122000.680861941","77"
"温州","主营收入","2024年2月","947600.184464048","78"
"温州","主营收入","2024年3月","1244800.84883944","79"
"温州","主营收入","2024年4月","1217700.14648882","80"
