"county","indicator","date","value","id"
"拱墅区AGS","主营收入","2023年01月","714270.8143373","1"
"拱墅区AGS","主营收入","2023年2月","26120.3921474","2"
"拱墅区AGS","主营收入","2023年3月","2550.7823553","3"
"拱墅区AGS","主营收入","2023年4月","27710.794225","4"
"拱墅区AGS","主营收入","2023年5月","30320.3121436","5"
"拱墅区AGS","主营收入","2023年6月","37160.7925214","6"
"拱墅区AGS","主营收入","2023年7月","2230.70735","7"
"拱墅区AGS","主营收入","2023年8月","27990.1214363","8"
"拱墅区AGS","主营收入","2023年9月","27790.3531801","9"
"拱墅区AGS","主营收入","2023年10月","26550.239603","10"
"拱墅区AGS","主营收入","2023年11月","32230.5147926","11"
"拱墅区AGS","主营收入","2023年12月","25180.714238","12"
"拱墅区AGS","主营收入","2024年1月","309270.1254235","13"
"拱墅区AGS","主营收入","2024年2月","25230.0775148","14"
"拱墅区AGS","主营收入","2024年3月","22390.8129919","15"
"拱墅区AGS","主营收入","2024年4月","25150.5133048","16"
"拱墅区AGS","主营收入","2024年5月","24030.1144709","17"
"拱墅区AGS","主营收入","2024年6月","26970.5596083","18"
"拱墅区AGS","主营收入","2024年7月","2520.4070216","19"
"拱墅区AGS","主营收入","2024年8月","23270.8371933","20"
"拱墅区AGS","主营收入","2024年9月","261270.3024788","21"
"拱墅区AGS","主营收入","2024年10月","25130.111991","22"
"拱墅区AGS","主营收入","2024年11月","22430.3631423","23"
"拱墅区AGS","主营收入","2024年12月","2430.0145252","24"
"拱墅区AGS","主营收入","去年同期","337420.3751642","25"
"拱墅区AGS","主营收入","本年累计","306610.1730826","26"
"拱墅区AGS","主营收入","累计同比","-0.1011862","27"
"拱墅区AGS","主营收入","主营累计完成率","82.703511","28"
"拱墅区AGS","主营收入","完成率排名","13","29"
"鄞州KYX","主营收入","2023年01月","25060.6000933","30"
"鄞州KYX","主营收入","2023年2月","20610.1784178","31"
"鄞州KYX","主营收入","2023年3月","23230.0503802","32"
"鄞州KYX","主营收入","2023年4月","26230.913209","33"
"鄞州KYX","主营收入","2023年5月","23750.6648235","34"
"鄞州KYX","主营收入","2023年6月","27560.0392351","35"
"鄞州KYX","主营收入","2023年7月","214270.7000623","36"
"鄞州KYX","主营收入","2023年8月","22490.7041533","37"
"鄞州KYX","主营收入","2023年9月","261270.7471485","38"
"鄞州KYX","主营收入","2023年10月","27890.1729427","39"
"鄞州KYX","主营收入","2023年11月","24710.6544819","40"
"鄞州KYX","主营收入","2023年12月","26960.2314964","41"
